idx	gold	pred	gold_verdict	lever	corpus_honest_risk	confidence	fix
90	representation.numeric.integer_number	representation.boolean.binary	debatable	sharpen_rule	low	med	binary_vocab_veto (mod.rs:2276) demotes binary->integer only when a value >1 exists, AND it is called on the stepped `sample` (mod.rs:2055), not the full `values`. 'noc' (number-of-children) is a count whose stepped sample collapsed to {0,1}; full column likely has values >1. Fix: pass full-column `
91	representation.numeric.integer_number	representation.boolean.binary	debatable	sharpen_rule	low	med	Identical to idx 90 (same column 'noc', same sha-family). Feed full-column `values` to binary_vocab_veto so a count whose stepped sample is all {0,1} but whose full column has a value >1 demotes binary->integer. Checkable max>1 signal.
92	representation.numeric.integer_number	representation.boolean.binary	debatable	gold_readjudicate	na	med	Header 'confirmed' + pure {0,1} domain is a textbook boolean flag; representation.boolean.binary is the better label. Re-adjudicate gold to boolean.binary (or accept the model). No engine change — binary_vocab_veto correctly leaves a pure {0,1} column as binary. lens-consensus (contested tier).
93	representation.numeric.integer_number	representation.identifier.increment	debatable	sharpen_rule	low	med	INCREMENT OVER-ATTRACTOR (central fix for 93-100). Values 9211..9204 are a contiguous descending run = textbook auto-increment, so increment_substance_veto correctly keeps it, yet author chose integer_number. Taxonomy admits increment is value-indistinguishable from integer (definitions_representati
94	representation.numeric.integer_number	representation.identifier.increment	model_wrong	sharpen_rule	low	high	Clear increment misfire: values 7272000,6603000,7583000,5957000 are financial amounts (deferredLongTermLiab) — NOT monotonic, NOT contiguous, NOT an increment. increment_substance_veto failed to demote because the 4-value sample has <5 ints so values_form_increment returns None (no demotion). Centra
95	representation.numeric.integer_number	representation.identifier.increment	values_missing	sharpen_rule	low	low	No values on disk. Same increment-over-emission pattern (composed=increment, gold=integer, 'GlobalRank'). Central fix applies (suppress numeric_sequential_detection increment -> integer_number). Unverifiable without values.
96	representation.numeric.integer_number	representation.identifier.increment	debatable	sharpen_rule	low	med	'State ID' = 1,2,3,4. numeric_sequential_detection fires on the low-diff-variance run. Could be a region code or a tiny increment; gold=integer. Central fix: demote numeric_sequential_detection increment -> integer_number (over-attractor). Tiny n (4 values) makes the sequential signal especially wea
97	representation.numeric.integer_number	representation.identifier.increment	debatable	sharpen_rule	low	med	'ID' = 117766..117759 contiguous descending = textbook auto-increment; values strongly support increment, but gold (llm-2panel, contested) chose integer. Central fix: suppress numeric_sequential_detection increment -> integer_number to match gold. gold_readjudicate to increment is the equally-valid 
98	representation.numeric.integer_number	representation.identifier.increment	debatable	sharpen_rule	low	med	'ID' = 2294590..2294582 (near-contiguous, one gap at 2294586). Same as 97: central increment-suppression fix to match gold, or gold_readjudicate to increment. Value signal favours increment.
99	representation.numeric.integer_number	representation.identifier.increment	debatable	sharpen_rule	low	med	'ID' = 155534..155526 (near-contiguous, gap at 155533). Same as 97: central increment-suppression fix to match gold, or gold_readjudicate to increment.
100	representation.numeric.integer_number	representation.identifier.increment	debatable	sharpen_rule	low	med	'ID' = 122230..122223 contiguous descending. Same as 97: central increment-suppression fix to match gold, or gold_readjudicate to increment.
101	representation.numeric.integer_number	representation.numeric.decimal_number	model_wrong	sharpen_rule	low	med	Values -1617000000,1041000000,3362000000,7786000000 are integers (no decimal point) => integer_number is correct; composed=decimal is wrong. raw_sense=isbn is garbage (10-digit bigint). The determining signal already exists: feature_sharpen Rule F5 (feature_sharpen.rs:245) uses IS_FLOAT to split num
102	representation.numeric.integer_number	representation.text.word	values_missing	model_blind	na	low	No values on disk. Header 'job__', author-tier gold=integer (high trust) vs composed=word. Cannot value-adjudicate or propose a rule without values. Re-fetch source values.
103	representation.numeric.integer_number		values_missing	veto_misfire_fix	na	low	No values on disk. composed=unknown (engine emitted blank) on 'x_coordinate' with gold=integer => a validation veto hard-rejected the Sense label to unknown. With values (projected/pixel integer coordinates) a veto_shape_fallback-style numeric->integer recovery would apply (precedent: veto_shape_fal
104	representation.numeric.integer_number		values_missing	veto_misfire_fix	na	low	Identical to idx 103 (same sha 48e9044292d1, 'y_coordinate'). composed=unknown, gold=integer; a veto demoted to blank. veto_shape_fallback numeric->integer recovery would apply with values present. Re-fetch values.
105	representation.text.entity_name	geography.address.street_name	values_missing	data_lever	na	low	No values on disk to adjudicate. Pattern: model header-branch geo attractor — a 'name' column collapsed to geography.address.street_name. No Sharpen value rule can fire without values; a 0094-style header-corroboration demotion (geography pred whose header lacks a street/geo token AND values aren't 
106	representation.text.entity_name	geography.location.city	values_missing	data_lever	na	low	No values. Same model city-attractor on a 'name' column as idx105. No value rule available; header-corroboration demotion possible only with values. Retrain lever.
107	representation.text.plain_text	container.array.semicolon_separated	values_missing	sharpen_rule	low	low	No values for THIS column, but propose the rule it exposes: NEW container.array.* validation veto. There is NO array detector in Sharpen today (grep 0 matches) so array.* is an unguarded model attractor that fires on prose containing one stray ';'. Trigger: result starts 'container.array' AND values
108	representation.text.plain_text	geography.address.full_address	values_missing	data_lever	na	low	No values. 'place' header -> full_address geo attractor; panel re-adjudicated to plain_text (values weren't addresses). No value rule without values. Retrain / header-corroboration demotion lever.
109	representation.text.plain_text	geography.address.street_address	values_missing	data_lever	na	low	No values. Header 'street_name' literally corroborates street, yet panel set gold=plain_text -> values are NOT real addresses. Header-corroboration would WRONGLY confirm here, so only a value-shape gate (address pattern: number+street tokens) could demote — needs values. Retrain lever.
110	representation.text.plain_text	geography.address.street_address	values_missing	data_lever	na	low	No values. Same as idx109: 'street' header -> street_address, gold plain_text. Header corroborates the wrong label; only a value address-shape gate could demote. Retrain lever.
111	representation.text.plain_text	geography.location.city	values_missing	data_lever	na	low	No values. 'gis_nta_name' is the EXACT column named in the retired-full_name-arm comment (header_sharpen.rs:551) — the project already knows this header misleads. The full_name arm was retired but city still over-fires from the model's geo branch. No Sharpen value lever without values; retrain with 
112	representation.text.plain_text	geography.location.city	values_missing	data_lever	na	low	No values. 'neighborhoods_analysis_boundaries' -> city. Family tag author-open:representation.discrete.categorical suggests the real shape is a categorical region-name vocab, not city. No value lever without values; if values are a small repeating vocab, text_vocab_override already handles 'word' bu
113	representation.text.plain_text	geography.location.country_code	debatable	model_blind	high	low	Values are a constant 'PA ¦ PA ¦ PA ¦ PA'. 'PA' is a VALID ISO country code (Panama) — the model's closed-set match is legitimate by value. But PA is equally Pennsylvania (state_code) or a bare label, and a single constant token carries no country-dimension evidence. Header 'PA' can't disambiguate. 
114	representation.text.plain_text	identity.person.full_name	model_wrong	data_lever	high	med	Values are game-log event lines: 'aranzebia spawned', 'aranzebia killed', 'reset aranzebia', 'exit spawned'. These contain lowercase verbs and repeat a tiny token vocab — clearly NOT person names. full_name_username_veto correctly skips them (multi-token/whitespace). A value veto (full_name with a h
115	representation.text.plain_text	representation.identifier.alphanumeric_id	values_missing	data_lever	na	low	No values. 'block' header -> alphanumeric_id. Could be a block number/code or free text; gold plain_text. No value lever without values. If values are high-cardinality letter+digit, alphanumeric_id is defensible (would make this debatable); without values can't tell.
116	representation.text.plain_text	representation.text.entity_name	debatable	model_blind	na	low	Values 'OECD ¦ Levels ¦ Level 1..5 ¦ Competencies' are short labels / small vocab — categorical-ish, not named entities and not really prose. entity_name vs plain_text vs word is a fuzzy contested boundary. The natural lever (small-vocab -> demote) is CLOSED: text_vocab_override is scoped to 'word' 
117	representation.text.plain_text	representation.text.entity_name	debatable	model_blind	na	med	Values are blog-post titles ('Functional Pattern Matching in JavaScript', 'Thoughts on Startups') — medium-length title-case phrases with no terminal punctuation. That shape is genuinely entity_name-like; entity_name vs plain_text/headline is a judgment call. Too short for a long-prose veto, too tit
118	representation.text.plain_text	representation.text.entity_name	debatable	model_blind	na	low	Values 'Browser ¦ Username ¦ Password ¦ Login ¦ Charlie Shen' are short UI-field labels mixed with one person name — small vocab, categorical/word territory. Same closed lever as idx116 (text_vocab_override is word-only; entity_name demotion is a corpus-honest NO-GO). No safe value rule.
119	representation.text.plain_text	representation.text.entity_name	model_wrong	sharpen_rule	low	med	Values are Reuters news paragraphs ('(Reuters) - Citigroup Inc said on Friday it recorded an addition...') — long multi-sentence prose, unambiguously NOT a named entity. Propose NEW entity_name long-prose veto: result==representation.text.entity_name AND values are prose (mean words >= ~12 AND major
120	representation.text.plain_text	representation.text.entity_name	model_wrong	sharpen_rule	low	high	Extend disambiguate_text_length_demotion (value_sharpen.rs:1730, wired at L294 in the multi-branch path) source set from {geography.address.full_address} to also cover representation.text.entity_name (and .word): when source is entity_name AND median non-empty value length > 100 -> representation.te
121	representation.text.plain_text	representation.text.entity_name	debatable	model_blind	na	med	No safe lever. Values are .NET XMLdoc member refs (M:/P:/T: prefixes, /summary suffixes, method signatures) -> structured code identifiers, not free prose AND not clean named entities. technology.code.qualified_name exists but its validator won't accept the M:/P:/T: prefix; the dedicated xmldoc-ref 
122	representation.text.plain_text	representation.text.entity_name	gold_mislabeled	gold_readjudicate	na	med	Re-adjudicate gold plain_text -> entity_name. Values are C# class/type names (GraphItem, GraphItem<T>, Edge<T>, Edge, Vertex<T>, Vertex) = proper names of types. entity_name is defensible; plain_text (prose) is wrong. Re-adjudication flips composed from error to CORRECT at zero engine risk.
123	representation.text.plain_text	representation.text.entity_name	gold_mislabeled	gold_readjudicate	na	med	Re-adjudicate gold plain_text -> entity_name. Values are class/type names (WorkerRole, PublisherProcessorAdapter, Topics, Commands, Subscriptions, Events) = named types. entity_name defensible; plain_text wrong. Flips composed to CORRECT, zero engine risk.
124	representation.text.plain_text	representation.text.entity_name	gold_mislabeled	data_lever	na	high	No safe deterministic lever. Values are a closed enum of NBA play-by-play call types (Foul: Personal/Shooting/Loose Ball/Offensive, Violation: Lane, Turnover: Traveling) -> categorical, which post-choice-0102 surfaces as representation.text.word. Both gold (plain_text) and composed (entity_name) are
125	representation.text.plain_text	representation.text.entity_name	gold_mislabeled	data_lever	na	high	No safe deterministic lever. Single repeated value 'Fix Released' x8 (cardinality 1) -> a constant categorical column, surfaces as word. Gold plain_text wrong, composed entity_name wrong. Even a cardinality==1 -> word rule is contested (the text_vocab_override rationale notes a column repeating one 
126	representation.text.plain_text	representation.text.entity_name	gold_mislabeled	data_lever	na	med	No safe deterministic lever. Small closed vocab (Payload delivery x5, Network activity x2, External analysis) -> categorical (surfaces as word). Gold plain_text wrong, composed entity_name wrong. entity_name->word vocab collapse is the litigated corpus-honest NO-GO.
127	representation.text.plain_text	representation.text.entity_name	debatable	gold_readjudicate	na	med	Re-adjudicate gold plain_text -> entity_name. Values 'HelloJob','Program' are class/program names = named types; entity_name defensible, plain_text wrong. Would flip composed to correct. Low support (2 values) so confidence is bounded.
128	representation.text.plain_text	representation.text.entity_name	debatable	model_blind	na	low	No clear lever. Values are 3 short UI/form field labels (label, background, signature source url) despite the signature_source_url header. Word / categorical / plain_text / entity_name all weakly arguable at n=3; no value signal determines the type.
129	representation.text.plain_text	representation.text.entity_name	values_missing	model_blind	na	low	No values on disk to judge. Header agency_name suggests proper names of agencies -> entity_name, so composed is plausibly correct and gold plain_text debatable. Cannot write a value-based rule without values.
130	representation.text.plain_text	representation.text.entity_name	values_missing	data_lever	na	med	No values on disk. Gold is author-adjudicated (HIGH trust) plain_text and header title_description argues for descriptive prose, so trust gold; composed entity_name is wrong. With no values no deterministic rule is possible -> only a better Sense model helps.
131	representation.text.plain_text	representation.text.entity_name	model_wrong	sharpen_rule	med	med	Add a path-shape demotion in value_sharpen: when source label is entity_name/word AND >=80% of values are slash-delimited relative file paths (>=2 '/'-separated segments, a trailing file extension e.g. .zip, no internal spaces) -> demote to representation.text.plain_text. Precedent shape: disambigua
132	representation.text.plain_text	representation.text.word	gold_mislabeled	gold_readjudicate	na	high	Re-adjudicate gold plain_text -> word. Value 'ro' x8 is a single repeated 2-char token (header REC_DIR), unambiguously NOT free prose. Composed=word is CORRECT. Re-adjudication flips this error to a win, zero engine risk.
133	representation.text.plain_text	representation.text.word	debatable	gold_readjudicate	na	med	Re-adjudicate gold plain_text -> word (or entity_name). Values are single-token names (Namibia, cinerea, pomonae, ponderosa = a country + Latin species epithets), header 'name'. Single words -> word/entity_name; plain_text (prose) is wrong. Composed=word is defensible, so re-adjudication likely flip
134	representation.text.plain_text	representation.text.word	gold_mislabeled	gold_readjudicate	na	high	Re-adjudicate gold plain_text -> word. Value 'Si' x8 (Spanish 'yes'), header EstadoDoc, single repeated short token -> NOT prose. Composed=word is CORRECT. Flips error to win, zero engine risk.
135	representation.text.plain_text	representation.text.word	gold_mislabeled	gold_readjudicate	na	med	Re-adjudicate gold plain_text->representation.text.word. Values (Trochodium, ajrekarii, ipomoeae, sampathense) are single Latin tokens, no whitespace, word_count=1. Taxonomy (labels/definitions_representation.yaml): plain_text='Unstructured text content (sentences, paragraphs)'; word='Single word wi
136	representation.text.plain_text	representation.text.word	gold_mislabeled	gold_readjudicate	na	high	Re-adjudicate gold plain_text->word. Values conv_1/relu_1/maxpool_1 are single tokens (underscore is an allowed word separator), no spaces. word by taxonomy definition; plain_text requires multi-word prose.
137	representation.text.plain_text	representation.text.word	debatable	gold_readjudicate	na	med	CamelCase single tokens (TestRecord, FixedSampleRecordSortable) have no whitespace -> word per taxonomy ('mixed-case patterns' explicitly covered). Composed=word defensible; plain_text (prose) is wrong. Flag for human re-confirm because prov_tier=author-adjudicated (high trust) but the value shape c
138	representation.text.plain_text	representation.text.word	gold_mislabeled	gold_readjudicate	na	med	Values music-ipods/accessories-ipod/laptops are single hyphenated tokens (hyphen explicitly allowed by word def). Not full URLs (no scheme/host), so ydf:url is also wrong. Composed=word correct; gold plain_text wrong.
139	representation.text.plain_text	representation.text.word	gold_mislabeled	gold_readjudicate	na	med	Duplicate of idx 138 (same slug values music-ipods/accessories-ipod/laptops). Re-adjudicate plain_text->word; single hyphenated tokens.
140	representation.text.plain_text	technology.filesystem.windows_path	gold_mislabeled	gold_readjudicate	na	high	Values are absolute Windows paths (drive letter d:\ + backslashes + filenames). technology.filesystem.windows_path (added v0.6.36) is exactly correct. Composed is ALREADY right; gold predates the type. Re-adjudicate gold plain_text->windows_path.
141	representation.text.word	geography.location.region	model_wrong	veto_misfire_fix	high	low	region over-emission: column is all 'LOCAL' (distinct=1, a status token), raw_sense=categorical which finalizes to word=gold. region/city have NO closed-set validator (open place names) so schema_fail_demotion cannot fire. Fix: do not let a geo override replace a confident categorical raw_sense when
142	representation.text.word	geography.location.region	values_missing	model_blind	na	low	No values on disk (values column empty). region over-emit on header 'net' is clearly wrong but the specific value-based fix cannot be grounded without samples. Same geo-header misfire family as 141/143-145.
143	representation.text.word	geography.location.state	model_wrong	veto_misfire_fix	med	med	Hardcoded geo header-hint 'state'/'province'->geography.location.state (header_sharpen.rs:361) overrode raw_sense=categorical with NO value corroboration. Values Static/Dynamic are a status enum, not US/CA/AU states (would fail STATE_CODES and any state gazetteer). Fix: gate the state/province heade
144	representation.text.word	geography.location.state	model_wrong	veto_misfire_fix	med	med	Duplicate class of idx 143 (header 'state', values Static/Dynamic status enum). Same fix: value-corroboration gate on the state/province header-hint; categorical->word=gold when uncorroborated.
145	representation.text.word	geography.location.state	model_wrong	veto_misfire_fix	med	med	Duplicate class of idx 143/144 (header 'state', values Static/Dynamic). Same fix.
146	representation.text.word	geography.location.state_code	values_missing	model_blind	na	low	No values on disk. state_code over-emit on header 'work_type' is wrong but no samples to ground a value rule. Note: state_code already has a value guard (values_look_like_state_codes, 80% STATE_CODES membership) — verify why it admitted this column once values are available.
147	representation.text.word	geography.transportation.iata_code	model_wrong	sharpen_rule	low	med	iata_code over-emission: values LTE/NR are cellular radio types, not airports. ROOT CAUSE: iata_code's validator is shape-only '^[A-Z]{3}$' (labels/definitions_geography.yaml) with NO closed-set, so schema_fail_demotion (value_sharpen.rs:1745) never fires (LTE passes the shape; NR is dropped at the 
148	representation.text.word	geography.transportation.iata_code	debatable	header_corroboration	med	med	TEAM_ABBREVIATION=POR. POR is BOTH a valid IATA code (Pori, Finland) and an NBA team abbreviation -> value-identical boundary; a closed-set IATA validator will NOT reject it. Fix (choice 0094): anti-corroboration veto — demote iata_code when the header lacks airport/airline/origin/dest/flight tokens
149	representation.text.word	geography.transportation.iata_code	debatable	header_corroboration	med	med	Duplicate of idx 148. TEAM_ABBREVIATION=HOU. HOU is a valid IATA code (Houston Hobby) AND an NBA team abbrev -> value-identical; closed-set won't reject. Same header anti-corroboration fix; raw_sense alphanumeric_id is the better non-geo fallback.
150	representation.text.word	identity.medical.cpt	model_wrong	sharpen_rule	low	med	Extend schema_fail_demotion's scoped label list (value_sharpen.rs:409) to include identity.medical.cpt. cpt has a closed pattern `^\d{5}$|^\d{4}[FTU]$`; a 'materialtype' column is non-numeric text and fails it ~100%, so the existing >50%-own-validator-fail gate demotes to categorical->word cleanly. 
151	representation.text.word	identity.person.last_name	model_wrong	sharpen_rule	med	med	BOS x8 is a 3-letter ALL-CAPS sports-team code, cardinality 1. last_name has no validator and is NOT in TEXT_ATTRACTORS (value_sharpen.rs:13), so neither schema_fail_demotion nor attractor_demotion_cardinality fires. Add a guard: when result is identity.person.last_name (or first_name) AND values ar
152	representation.text.word	representation.alphanumeric.alphanumeric_id	values_missing	data_lever	na	low	alphanumeric_id is a representation.* residual; schema_validation_gate skips representation.* and R32 text_vocab_override only fires when result is already word. Cannot tell from this TSV whether permit_type values are pure-letter words (gold-correct word) or coded IDs (alphanumeric_id defensible). 
153	representation.text.word	representation.alphanumeric.alphanumeric_id	values_missing	data_lever	na	low	Identical to idx 152 (header 'type', same residual word/alphanumeric_id boundary). Values absent; cannot judge whether the column is a word vocabulary or coded IDs. No safe deterministic lever without seeing values.
154	representation.text.word	representation.boolean.terms	debatable	sharpen_rule	low	low	boolean.terms is a closed enum (true/false/yes/no/on/off + case variants, definitions_representation.yaml:1076). Extend schema_fail_demotion scope to representation.boolean.terms: a multi-value status (Active/On Leave/Terminated) fails the enum ~100% -> demote to categorical->word; a genuine 2-value
155	representation.text.word	representation.identifier.alphanumeric_id	debatable	gold_readjudicate	na	med	K562 is a biological cell-line identifier; alphanumeric_id is genuinely defensible (letter+digit, passes the alnum validator so no veto fires). gold=word treats it as a categorical cell_type column. Both readings are valid - this is the word/alphanumeric_id residual. No safe value rule: a low-cardin
156	representation.text.word	representation.text.entity_name	model_wrong	model_blind	high	med	'Grouping-1/2/3' is a synthetic enumerated category label, not a named entity, so gold=word is right. But entity_name low-cardinality demotion is explicitly contra-precedent (R32 comment: 'eight manufacturer names IS entity_name'; corpus-honest round 1 killed the entity_name variant on 3,752 oracle-
157	representation.text.word	representation.text.entity_name	debatable	model_blind	na	low	'Mathematik'/'unassigned' is a subject-classification facet; entity_name vs word both defensible. raw_sense was categorical (would remap to word, correct) but the fused composed chose entity_name. Same entity_name-demotion-is-contra-precedent constraint as idx 156 - no safe deterministic lever.
158	representation.text.word	representation.text.entity_name	debatable	gold_readjudicate	na	med	Turkish food-menu category names (Menuler/Kahvaltiliklar/Tostlar). raw_sense, ydf AND composed all independently say entity_name - strong tri-signal agreement against gold=word. food_category names are arguably entity_name. Correct gold rather than build an engine rule.
159	representation.text.word	representation.text.entity_name	debatable	gold_readjudicate	na	low	NAICS code DESCRIPTIONS are industry-classification phrases (e.g. 'Soybean Farming') - entity_name is defensible for descriptive industry names. Values absent here but the column name is decisive. Re-adjudicate gold rather than demote entity_name (contra-precedent).
160	representation.text.word	technology.internet.http_method	model_wrong	sharpen_rule	low	high	HEADLINE FIX. permit_status values (Issued/Pending/Approved...) fail http_method's closed 27-variant enum+pattern (definitions_technology.yaml:294) ~100%. Extend schema_fail_demotion scope (value_sharpen.rs:409) to technology.internet.http_method -> >50% own-validator-fail demotes to categorical->wo
161	representation.text.word	technology.internet.http_method	model_wrong	sharpen_rule	low	high	Same fix as idx 160. filing_status values fail the http_method closed enum ~100%; the schema_fail_demotion scope extension to technology.internet.http_method demotes it to categorical->word.
162	representation.text.word	technology.internet.http_method	model_wrong	sharpen_rule	low	high	Same fix as idx 160. primary_type values fail the http_method closed enum ~100%; schema_fail_demotion scope extension demotes to categorical->word.
163	representation.text.word	technology.internet.top_level_domain	model_wrong	header_corroboration	low	med	magType = earthquake magnitude type (mb/ml/mw/mwr...). These 2-letter lowercase abbrevs MATCH the TLD pattern `^(?:[a-z]{2,}|xn--...)(?:\.[a-z]{2,})?$`, so schema_fail_demotion would NOT fire (values pass). This is a genuine TLD false-friend. Use header corroboration (choice 0094): demote top_level_
164	representation.text.word	unknown	model_wrong	veto_misfire_fix	low	med	OKC x8 (all-letters, no digit, cardinality 1). raw_sense=alphanumeric_id was vetoed (OKC fails the alphanumeric_id format) but the demotion landed on 'unknown' instead of word/categorical. Per the shipped veto_shape_fallback precedent (0.6.28: small repeating vocab -> categorical), extend the fallba
165	representation.text.word		values_missing	model_blind	na	low	No values on disk (empty values field) -> cannot value-judge. Column 'continent' + gold=word implies values are continent names (Asia/Europe/...); composed is blank/unknown so the Sense model emitted nothing. With values present the candidate levers would be (a) new_type geography.location.continent
166	technology.internet.top_level_domain	representation.alphanumeric.alphanumeric_id	model_wrong	header_corroboration	med	med	Values are leading-dot ccTLDs (.tw .af .al .dz .as .ad .ao .ai). The tld validator (labels/definitions_technology.yaml L242 `^(?:[a-z]{2,}|xn--[a-z0-9]+)(?:\.[a-z]{2,})?$`) REJECTS the leading dot AND accepts any 2+-lowercase token (too loose to gate on), so neither schema_fail_demotion nor a regex-
167	technology.internet.top_level_domain	representation.discrete.ordinal	values_missing	header_corroboration	med	med	No values on disk -> cannot verify. Header 'TLD' strongly implies top_level_domain; same closed-set+header_corroboration lever as idx 166 would recover it IF source values are leading-dot/IANA TLDs. composed=ordinal is a bare model miss. Re-fetch values before building the rule; this row rides on th
168	technology.internet.top_level_domain	representation.text.entity_name	gold_mislabeled	gold_readjudicate	na	high	Column header TEAM_ABBREVIATION, all values 'SAS' (uppercase, no dot, single repeated token) - this is NOT a TLD. gold=top_level_domain is wrong; correct label is a short-code/categorical/entity residual. composed=entity_name is defensible; raw_sense=country_code is also wrong. Fix is to re-adjudica
169	technology.internet.top_level_domain	representation.text.word	values_missing	header_corroboration	med	med	No values on disk. Header 'IDN_TLD' (Internationalized Domain Name TLD) implies top_level_domain incl xn-- punycode forms. Same closed-set+header_corroboration lever as 166/167; the recovery rule's header set must include idn_tld and the IANA check must accept xn-- punycode. Re-fetch values to verif
170	technology.internet.url	representation.text.plain_text	model_wrong	sharpen_rule	low	high	Add technology.internet.url as a 4th reader in structured_string_refinement (crates/finetype-model/src/column/mod.rs ~L2228): fire_on = RESIDUAL {plain_text, word, unknown}, gated by label_validates_sample(url, >=90%). REPRODUCED: live model emits plain_text for header 'parent_id' (conf 0.717, no di
171	technology.internet.url	representation.text.plain_text	model_wrong	sharpen_rule	low	high	Same as idx 170: url-recovery reader in structured_string_refinement, residual-gated, label_validates_sample(url, >=90%). Values are valid https URLs (bitcointalk topic links). One rule covers 170-173.
172	technology.internet.url	representation.text.plain_text	model_wrong	sharpen_rule	low	high	Same as idx 170: url-recovery reader in structured_string_refinement, residual-gated >=90% url-validator pass. Covered by the single rule.
173	technology.internet.url	representation.text.plain_text	model_wrong	sharpen_rule	low	high	Same as idx 170: url-recovery reader in structured_string_refinement, residual-gated >=90% url-validator pass. Covered by the single rule.
