id	kind	verdict	deferred	current_gold	model_pred	panel_opus	c_opus	panel_sonnet	c_sonnet	panel_haiku	c_haiku	panel_adv	agree	mean_conf	sample_values
g0173	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2013-07-30 | 2013-08-02 | 2013-08-05 | 2013-08-06 | 2013-08-21 | 2013-08-12 | 2013-08-19 | 2013-08-26 | 2013-08-08 | 2013-08-23 | 2013-08-22 | 2013-08-07 | 2013-08-15 | 2013-08-27 | 2013-08-14 | 2013-08-16 | 2013-08-28 | 2013-07-31 | 2013-08-09 | 2013-08-20
g0174	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2014-05-02 | 2014-05-16 | 2014-05-23 | 2014-05-27 | 2014-05-29 | 2014-06-14 | 2014-06-18 | 2014-06-25 | 2014-06-28 | 2014-07-10 | 2014-07-12 | 2014-07-25 | 2014-07-27 | 2014-08-10 | 2014-08-12 | 2014-08-14 | 2014-08-23 | 2014-08-27 | 2014-08-29 | 2014-09-10
g0175	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2018-10-06 | 2017-11-01 | 2018-05-09 | 2018-05-08 | 2018-05-05 | 2018-10-16 | 2018-09-06 | 2018-09-12
g0176	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2014-06-25 | 2014-06-28 | 2014-07-10 | 2014-07-12 | 2014-07-25 | 2014-07-27 | 2014-08-10 | 2014-08-12 | 2014-08-14 | 2014-08-23 | 2014-08-27 | 2014-08-29 | 2014-09-10 | 2014-10-04 | 2014-10-06 | 2014-10-17 | 2014-10-18 | 2014-10-22 | 2014-10-23 | 2014-10-28
g0177	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2014-06-25 | 2014-06-28 | 2014-07-10 | 2014-07-12 | 2014-07-25 | 2014-07-27 | 2014-08-10 | 2014-08-12 | 2014-08-14 | 2014-08-23 | 2014-08-27 | 2014-08-29 | 2014-09-10 | 2014-10-04 | 2014-10-06 | 2014-10-17 | 2014-10-18 | 2014-10-22 | 2014-10-23 | 2014-10-28
g0178	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2009-04-27 | 2010-04-07 | 2009-04-28 | 2008-11-03 | 2010-04-05 | 2010-10-29 | 2009-10-20 | 2010-04-06 | 2009-04-26 | 2010-10-26 | 2008-11-06 | 2010-10-24 | 2010-04-04 | 2008-11-07
g0179	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2016-06-22 | 2016-06-23 | 2016-06-13 | 2016-06-20 | 2016-06-25 | 2016-06-28 | 2016-06-18 | 2016-06-24 | 2016-06-12 | 2016-06-21 | 2016-06-30 | 2016-06-29 | 2016-06-11 | 2016-06-14 | 2016-06-16 | 2016-06-17 | 2016-06-19 | 2016-06-27 | 2016-06-26 | 2016-06-10
g0180	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2016-05-26 | 2016-05-30 | 2016-06-07 | 2016-06-08 | 2016-06-13 | 2016-06-20 | 2016-06-25 | 2016-06-28 | 2016-05-14 | 2016-05-23 | 2016-05-28 | 2016-06-18 | 2016-06-24 | 2016-05-15 | 2016-05-22 | 2016-05-25 | 2016-06-01 | 2016-06-02 | 2016-06-29 | 2016-05-11
g0181	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2016-10-31 | 2017-12-14 | 2018-06-13 | 2019-09-06 | 2019-10-17 | 2017-09-27 | 2019-12-05 | 2018-03-06 | 2020-04-02 | 2018-02-16 | 2019-04-10 | 2019-05-14 | 2007-10-15 | 2019-06-06 | 2017-09-19 | 2018-08-03 | 2018-11-06 | 2017-06-02 | 2019-08-01
g0182	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2013-09-23 | 2019-11-08 | 2016-08-05 | 2015-09-03 | 2015-08-28 | 2014-12-11 | 2017-10-10 | 2013-05-06 | 2016-02-29 | 2015-09-14 | 2014-09-23 | 2013-08-08 | 2017-01-20 | 2014-10-02 | 2012-08-09 | 2016-12-01 | 2018-08-08 | 2013-09-17 | 2012-12-24 | 2015-10-01
g0183	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2002-06-18 | 2000-02-16 | 2011-07-28 | 2007-08-08 | 1974-03-28 | 2013-07-31 | 1987-09-23 | 1983-12-01 | 2005-06-24
g0184	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2011-12-28 | 2011-12-04 | 2011-11-20 | 2011-11-06 | 2011-12-11 | 2011-12-18 | 2011-11-13
g0185	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2015-11-27 | 2015-11-25 | 2015-11-26
g0186	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2017-02-03 | 2017-02-15 | 2017-02-17 | 2017-01-25 | 2017-01-27 | 2017-02-08 | 2017-02-09 | 2017-02-18 | 2017-01-24 | 2017-02-01 | 2017-02-06 | 2017-02-11 | 2017-02-14 | 2017-01-15 | 2017-01-17 | 2017-01-19 | 2017-01-22 | 2017-01-28 | 2017-02-16 | 2017-01-12
g0187	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	1925-07-01 | 1928-07-01 | 1936-11-01 | 1926-04-15 | 1942-02-01 | 1897-06-30 | 1923-07-01 | 1919-07-01 | 1940-01-22 | 1930-01-01 | 1929-01-01 | 1933-11-26 | 1936-04-12 | 1934-11-01 | 1897-01-01 | 1937-08-20 | 1904-04-01 | 1940-04-22 | 1938-12-20 | 1932-01-01
g0188	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2020-09-09 | 2020-09-08 | 2020-09-15 | 2020-09-10 | 2020-09-14 | 2020-09-12 | 2020-09-13 | 2020-09-11
g0189	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2009-05-17 | 2009-06-07 | 2009-07-01 | 2009-05-31 | 2009-06-14 | 2009-05-24
g0190	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2000-01-02 | 2000-01-04 | 2000-01-01 | 2000-01-06 | 2000-01-03 | 2000-01-05
g0191	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2014-10-06 | 2014-09-28 | 2014-09-12 | 2014-10-20 | 2014-08-26 | 2014-08-17 | 2014-09-15 | 2014-10-02 | 2015-01-09 | 2014-09-23 | 2014-09-09 | 2015-01-12 | 2014-10-11 | 2014-08-31 | 2014-10-15 | 2014-09-24 | 2014-09-05
g0192	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2015-09-03 | 2016-12-22 | 2015-07-31 | 2016-07-01 | 2016-07-28
g0193	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2015-05-01 | 2017-04-18 | 2016-04-30 | 2017-11-11 | 2012-10-27 | 2014-05-11 | 2013-04-25 | 2016-11-11 | 2013-04-27 | 2016-05-01 | 2018-05-09 | 2015-04-28 | 2017-04-17 | 2015-11-12 | 2012-10-26 | 2018-11-11 | 2017-04-20 | 2018-05-08 | 2014-05-09 | 2016-11-08
g0194	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2012-06-06 | 2012-05-27 | 2012-06-03 | 2012-05-13
g0195	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2010-02-28 | 2010-02-14 | 2010-03-01 | 2010-01-17
g0196	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2019-05-30 | 2019-06-18 | 2019-06-24 | 2019-06-10 | 2019-07-03 | 2019-05-20
g0197	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2020-01-05 | 2020-05-11 | 2020-05-12 | 2019-12-12 | 2020-05-06
g0198	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2019-02-26 | 2018-12-07 | 2019-03-17
g0199	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2016-04-09 | 2016-11-09 | 2017-11-19 | 2018-04-08 | 2018-04-06 | 2017-03-11 | 2017-03-12 | 2018-11-14 | 2017-11-14 | 2016-11-08 | 2015-11-10 | 2017-03-21 | 2018-11-12 | 2015-11-13 | 2016-11-10 | 2016-04-10 | 2017-03-10 | 2017-11-12 | 2015-11-07 | 2018-11-13
g0200	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2016-09-02 | 2016-11-09 | 2017-08-03 | 2015-07-23 | 2015-11-18 | 2016-11-11 | 2007-07-25 | 2006-06-21 | 2016-05-13 | 2016-12-23 | 2016-12-16 | 2017-05-19 | 2017-03-01 | 2014-08-22 | 2017-01-20 | 2017-03-02 | 2017-02-02 | 2017-03-08 | 2017-07-31 | 2017-09-15
g0201	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2014-08-14 | 2014-05-27 | 2014-05-29 | 2014-08-18 | 2014-01-28 | 2014-01-05 | 2013-11-02 | 2014-04-17 | 2014-01-11 | 2015-01-09 | 2013-09-30 | 2014-01-14 | 2013-12-20 | 2014-04-13 | 2015-01-12 | 2014-03-24 | 2014-04-25 | 2014-03-14 | 2013-12-18 | 2014-02-07
g0202	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2018-05-04 | 2018-05-07 | 2018-05-09 | 2018-05-02 | 2018-05-10 | 2018-05-20 | 2018-05-06 | 2018-05-13 | 2018-05-15 | 2018-05-16 | 2018-05-18 | 2018-05-19 | 2018-05-14 | 2018-05-05 | 2018-05-08 | 2018-05-17 | 2018-05-11 | 2018-05-12
g0203	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2021-02-08 | 2020-10-26 | 2020-02-17 | 2020-04-15 | 2017-11-11 | 2021-01-29 | 2020-07-14 | 2020-08-14 | 2021-02-18 | 2021-01-18 | 2020-09-03 | 2021-02-03 | 2021-01-23 | 2020-05-17 | 2020-12-05 | 2021-02-15 | 2020-12-06 | 2020-01-03 | 2020-11-21 | 2018-10-08
g0204	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2000-01-01 | 2000-01-02 | 2000-01-04 | 2000-01-03 | 2000-01-05 | 2000-01-06
g0205	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2013-08-02 | 2013-08-05 | 2013-08-06 | 2013-08-21 | 2013-08-12 | 2013-08-19 | 2013-08-26 | 2013-08-29 | 2013-08-08 | 2013-08-23 | 2013-09-11 | 2013-08-09 | 2013-08-20 | 2013-08-14 | 2013-08-16 | 2013-08-28 | 2013-08-07 | 2013-08-15 | 2013-08-22 | 2013-08-27
g0206	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2017-02-03 | 2017-02-15 | 2017-01-25 | 2017-01-27 | 2017-02-08 | 2017-02-09 | 2017-01-08 | 2017-01-24 | 2017-02-01 | 2017-02-06 | 2017-02-11 | 2017-02-14 | 2017-01-07 | 2017-01-15 | 2017-01-17 | 2017-01-19 | 2017-01-22 | 2017-01-28 | 2017-02-16 | 2017-01-09
g0207	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.85	calendar_date	0.99	date	0.95	iso_date	1	0.85	2020-01-18 | 2020-01-22 | 2020-02-17 | 2020-03-01 | 2020-03-07 | 2020-03-26 | 2020-04-10 | 2020-04-15 | 2020-04-19 | 2020-05-01 | 2020-05-07 | 2020-05-10 | 2020-05-21 | 2020-05-23 | 2020-05-26 | 2020-05-27 | 2020-06-01 | 2020-06-08 | 2020-06-11 | 2020-06-20
g0208	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.85	calendar_date	0.99	date	0.95	iso_date	1	0.85	2011-01-06 | 2013-01-07 | 2013-01-14 | 2013-01-24 | 2012-01-06 | 2010-01-06
g0209	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.9	calendar_date	0.99	date	0.95	iso_date	1	0.9	2002-06-18 | 2000-02-16 | 1970-12-16 | 1997-02-20 | 1974-03-28 | 1976-05-07 | 1987-09-23 | 2007-05-04 | 2018-12-23 | 2005-06-24
g0210	ac-03	CONTESTED		datetime.offset.utc	datetime.offset.utc	utc	0.7	utc_offset	0.92	decimal_number	0.9	utc_offset	1	0.7	0.0 | -8.0 | 9.5 | 10.5 | -2.0 | 5.3 | 5.45 | -1.0 | -11.0 | 4.5 | 5.75 | 8.5 | -3.0 | -4.0 | 10.0 | 4.0 | 13.0 | 12.75 | 3.5 | 12.0
g0225	ac-03	CONTESTED		representation.text.plain_text	identity.person.full_name	full_address	0.5	street	0.9	entity_name	0.9	entity_name	1	0.5	WEST SERVICE ROAD | 73 AVE | WEST 86TH STREET | WEST 58TH STREET | JARVIS AVENUE | CLINTON STREET | ROBINSON AVENUE | CONNECTICUT STREET | DECATUR STREET | 60 DRIVE | FREDERICK DOUGLASS BLVD | RIVERSIDE DR. | STANHOPE STREET | WARREN STREET | GREENWICH STREET | PARK AVE | PUTNAM AVENUE | FORT WASHINGTON AVENUE | WATER STREET | NOSTRAND AVE
g0227	ac-03	CONTESTED		datetime.date.iso	unknown	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2025-05-19 00:00:00 | 2009-06-15 00:00:00 | 2024-02-12 00:00:00 | 2024-09-09 00:00:00 | 2024-05-20 00:00:00 | 2017-08-14 00:00:00 | 2017-02-06 00:00:00 | 2024-06-10 00:00:00 | 2020-02-18 00:00:00 | 2018-03-05 00:00:00 | 2019-04-29 00:00:00 | 2017-10-23 00:00:00 | 2025-06-02 00:00:00 | 2011-10-24 00:00:00 | 2023-03-20 00:00:00 | 2001-08-27 00:00:00 | 2021-01-25 00:00:00 | 2006-05-15 00:00:00 | 2000-06-12 00:00:00 | 2018-10-29 00:00:00
g0242	ac-03	CONTESTED		datetime.date.iso	unknown	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2026-05-31 23:46:00 | 2026-05-31 23:28:00 | 2026-05-31 23:19:00 | 2026-05-31 22:55:00 | 2026-05-31 21:45:00 | 2026-05-31 21:15:00 | 2026-05-31 20:45:00 | 2026-05-31 18:41:00 | 2026-05-31 18:38:00 | 2026-05-31 18:30:00 | 2026-05-31 18:10:00 | 2026-05-31 18:00:00 | 2026-05-31 17:30:00 | 2026-05-31 16:34:00 | 2026-05-31 15:35:00 | 2026-05-31 15:29:00 | 2026-05-31 14:57:00 | 2026-05-31 14:45:00 | 2026-05-31 14:38:00 | 2026-05-31 14:34:00
g0243	ac-03	CONTESTED		datetime.date.iso	datetime.timestamp.iso_8601_micros_offset	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2026-06-07 15:43:51 | 2026-06-03 15:42:40 | 2026-05-30 15:44:16 | 2026-05-24 15:42:13 | 2026-05-11 15:43:10 | 2026-06-04 15:42:26 | 2026-06-05 15:43:59 | 2026-05-30 15:43:01 | 2026-05-23 15:42:11 | 2026-05-21 15:42:40 | 2026-05-20 15:42:35 | 2026-05-18 15:42:59 | 2026-05-17 15:41:15 | 2026-05-10 15:42:06 | 2026-06-08 15:42:19 | 2026-06-01 15:40:56 | 2026-05-29 15:45:19 | 2026-05-26 15:43:06 | 2026-05-25 15:41:30 | 2026-05-14 15:41:50
g0248	ac-03	CONTESTED		datetime.date.iso	datetime.timestamp.iso_8601_millis_offset	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2006-01-01 00:00:00 | 2007-01-01 00:00:00 | 2016-11-16 00:00:00 | 2010-12-06 00:00:00 | 2011-09-07 00:00:00 | 2004-07-01 00:00:00 | 2018-02-28 00:00:00 | 1992-08-01 00:00:00 | 2017-11-20 00:00:00 | 1988-07-01 00:00:00 | 2017-08-07 00:00:00 | 2017-04-12 00:00:00 | 2017-10-28 00:00:00 | 2015-10-06 00:00:00 | 2007-08-21 00:00:00 | 2025-04-02 00:00:00 | 2005-08-18 00:00:00 | 2008-08-01 00:00:00 | 2020-11-06 00:00:00 | 1995-04-17 00:00:00
g0249	ac-03	CONTESTED		datetime.date.iso	representation.identifier.alphanumeric_id	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2011-05-01 00:00:00 | 2006-01-01 00:00:00 | 2015-11-23 00:00:00 | 2014-06-24 00:00:00 | 2007-01-01 00:00:00 | 2016-11-16 00:00:00 | 2015-12-01 00:00:00 | 2011-09-07 00:00:00 | 2009-02-06 00:00:00 | 2018-02-28 00:00:00 | 2017-11-20 00:00:00 | 1988-07-01 00:00:00 | 2017-08-07 00:00:00 | 2012-08-17 00:00:00 | 2017-10-28 00:00:00 | 2015-10-06 00:00:00 | 2019-03-07 00:00:00 | 2007-08-21 00:00:00 | 2025-04-02 00:00:00 | 2020-10-15 00:00:00
g0251	ac-03	CONTESTED		datetime.date.iso	unknown	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2021-09-30 00:00:00 | 2021-06-18 00:00:00 | 2021-03-26 00:00:00 | 2021-04-09 00:00:00 | 2021-10-07 00:00:00 | 2021-07-29 00:00:00 | 2021-03-11 00:00:00 | 2021-01-29 00:00:00 | 2021-09-03 00:00:00 | 2021-08-20 00:00:00 | 2021-09-10 00:00:00 | 2021-02-26 00:00:00 | 2021-11-30 00:00:00 | 2021-08-04 00:00:00 | 2021-06-08 00:00:00 | 2021-04-02 00:00:00 | 2021-01-16 00:00:00 | 2021-04-23 00:00:00 | 2021-03-19 00:00:00 | 2006-03-14 00:00:00
g0253	ac-03	CONTESTED		representation.text.plain_text	geography.address.street_address	full_address	0.5	street	0.9	entity_name	0.9	entity_name	1	0.5	WOLTERTON ROAD | DANTE WAY | RIVERSIDE WALK | BROOMFIELD | TYERSAL LANE | EDINBURGH ROAD | LON FFOS-LAS | MARTIN ROAD | CARNEGIE CLOSE | STONEY LANE | MOAT LANE | HEATHLAND | CLARKSON CRESCENT | RIPLEY LINK | CRANWELL CIRCLE | SHAFTESBURY ROAD | WESTDEANE COURT | DAVIS STREET | PORTLAND ROAD | BALHAM NEW ROAD
g0000	ac-03	CONFIRM		geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.95	latitude	0.95	latitude	3	0.95	48.8495362 | 48.856614 | 48.8496661 | 48.8495328 | 48.8495986 | 48.8495347 | 48.84933 | 48.8495994 | 48.8493699 | 48.8495885 | 48.8499587 | 48.8495027 | 48.8496185 | 48.8497783 | 48.8497859
g0001	ac-03	CONFIRM		geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.95	latitude	3	0.96	43.0981021387567 | 43.3824595871023 | 43.3369333035916 | 42.8365011303693 | 43.1905306901665 | 42.6747593485717 | 42.789240148117 | 43.0289932066368 | 42.7752777621736
g0002	ac-03	CONFIRM		geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.95	latitude	0.95	latitude	3	0.95	48.8945358 | 48.8943528 | 48.8947481 | 48.8949169 | 48.8942462 | 48.8942005 | 48.8947467 | 48.8944613 | 48.8947615 | 48.8948638 | 48.8947593 | 48.894899 | 48.8949021 | 48.8947187 | 48.8942677 | 48.8948843 | 48.894335 | 48.8950442 | 48.856614 | 48.8941663
g0003	ac-03	CONFIRM		geography.coordinate.longitude	geography.coordinate.longitude	longitude	0.95	longitude	0.97	longitude	0.95	longitude	3	0.96	-121.83333 | -121.545 | -121.73333 | -121.78667 | -121.64 | -122.05667 | -121.7667 | -121.935 | -121.745 | -121.68667 | -121.77667 | -122.15667 | -121.51261 | -121.785 | -121.82 | -122.145
g0004	ac-03	CONFIRM		representation.numeric.integer_number	finance.banking.aba_routing	amount	0.7	integer_number	0.75	integer_number	0.9	monetary_amount	2	0.82	114068000 | 116088000 | 119313000 | 114815000
g0005	ac-03	CONFIRM		representation.numeric.integer_number	representation.numeric.integer_number	amount	0.7	integer_number	0.75	integer_number	0.9	monetary_amount	2	0.82	444817000 | 234775000 | 244333000 | 300691000
g0006	ac-03	CONFIRM		geography.coordinate.longitude	geography.coordinate.longitude	longitude	0.9	longitude	0.97	longitude	0.95	longitude	3	0.94	174.749873 | 174.752513 | 174.716052 | 174.713664 | 174.71935 | 174.717331 | 174.751048 | 174.750999 | 174.756722 | 174.740063 | 174.758535 | 174.720906 | 174.732459 | 174.714893 | 174.750244 | 174.718503 | 174.730392 | 174.747119 | 174.755981 | 174.715221
g0007	ac-03	CONFIRM		representation.numeric.integer_number	representation.numeric.integer_number	integer_number	0.55	integer_number	0.7	integer_number	0.85	categorical	3	0.7	-1 | 0 | 4
g0008	ac-03	CONFIRM		representation.numeric.integer_number	representation.identifier.increment	amount	0.7	integer_number	0.75	integer_number	0.9	monetary_amount	2	0.82	6603000 | 5957000 | 7272000 | 7583000
g0009	ac-03	CONFIRM		representation.numeric.integer_number	representation.numeric.integer_number	integer_number	0.55	integer_number	0.7	integer_number	0.85	categorical	3	0.7	-1 | 0 | 3
g0010	ac-03	CONFIRM		representation.numeric.integer_number	representation.numeric.integer_number	amount	0.7	integer_number	0.8	integer_number	0.9	monetary_amount	2	0.85	231000000 | 274000000 | 237000000
g0011	ac-03	CONFIRM		representation.numeric.integer_number	representation.identifier.numeric_code	amount	0.7	integer_number	0.8	integer_number	0.95	monetary_amount	2	0.88	13426753000 | 15557112000 | 16898552000 | 15204520000
g0012	ac-03	CONFIRM		representation.numeric.decimal_number	representation.numeric.decimal_number	decimal_number	0.75	decimal_number	0.8	decimal_number	0.9	decimal_number	3	0.82	837.0211 | 306.084 | -103.6036 | 6.8751 | -11.2931 | -75.823 | -21.6639 | -179.6688 | 598.6219 | -126.7786 | -84.6577 | -16.243 | -177.8893 | -106.8434 | 273.7906 | -142.4907 | 29.9808 | -84.5287 | 44.6624 | -144.602
g0013	ac-03	CONFIRM		representation.numeric.decimal_number	representation.numeric.decimal_number	decimal_number	0.75	decimal_number	0.8	decimal_number	0.9	decimal_number	3	0.82	-93.431 | -271.1006 | -10.3822 | -138.9825 | -95.0828 | -37.6456 | -171.9451 | -67.454 | -257.869 | -92.8687 | -133.1043 | -73.4966 | -118.4537 | -41.5635 | -53.9896 | -98.4734 | -84.4259 | -12.7292 | -61.5659 | -68.7575
g0014	ac-03	CONFIRM		technology.internet.url	technology.internet.url	url	0.97	url	0.99	url	0.95	url	3	0.97	https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri | https://www.scopus.com/inward/record.uri
g0015	ac-03	CONFIRM		technology.internet.url	technology.internet.url	url	0.97	url	0.99	url	0.95	url	3	0.97	https://doi.org/10.1038/s41567-018-0198- | https://doi.org/10.1038/s41567-018-0127- | https://doi.org/10.1038/s41567-018-0113- | https://doi.org/10.1038/s41567-018-0230- | https://doi.org/10.1038/s41567-018-0194- | https://doi.org/10.1038/s41567-018-0115- | https://doi.org/10.1038/s41567-018-0226- | https://doi.org/10.1038/s41567-018-0187- | https://doi.org/10.1038/s41567-018-0137- | https://doi.org/10.1038/s41567-018-0111- | https://doi.org/10.1038/s41567-018-0206- | https://doi.org/10.1038/s41567-018-0185- | https://doi.org/10.1038/s41567-018-0171- | https://doi.org/10.1038/s41567-018-0220- | https://doi.org/10.1038/s41567-018-0192- | https://doi.org/10.1038/s41567-018-0093- | https://doi.org/10.1038/s41567-018-0080- | https://doi.org/10.1038/s41567-018-0126- | https://doi.org/10.1038/s41567-018-0211- | https://doi.org/10.1038/s41567-018-0222-
g0016	ac-03	CONFIRM		technology.internet.url	technology.internet.url	url	0.97	url	0.99	url	0.95	url	3	0.97	https://doi.org/10.1038/nphoton.2016.54 | https://doi.org/10.1038/nphoton.2016.36 | https://doi.org/10.1038/nphoton.2016.78 | https://doi.org/10.1038/nphoton.2016.87 | https://doi.org/10.1038/nphoton.2016.21 | https://doi.org/10.1038/nphoton.2016.86 | https://doi.org/10.1038/nphoton.2016.71 | https://doi.org/10.1038/nphoton.2016.81 | https://doi.org/10.1038/nphoton.2016.83 | https://doi.org/10.1038/nphoton.2016.62 | https://doi.org/10.1038/nphoton.2016.89 | https://doi.org/10.1038/nphoton.2016.84 | https://doi.org/10.1038/nphoton.2016.85 | https://doi.org/10.1038/nphoton.2016.82 | https://doi.org/10.1038/nphoton.2016.19 | https://doi.org/10.1038/nphoton.2016.92 | https://doi.org/10.1038/nphoton.2016.88 | https://doi.org/10.1038/nphoton.2016.50 | https://doi.org/10.1038/nphoton.2016.90
g0017	ac-03	CONFIRM		technology.internet.url	technology.internet.url	url	0.97	url	0.99	url	0.95	url	3	0.97	https://www.facebook.com/time/videos/101 | http://ti.me/2oMyjfd | http://ti.me/2pyF9ZS | http://ti.me/2pwiEET | https://www.facebook.com/time/videos/153 | http://ti.me/2ouRSZj | http://ti.me/2pMz3BR | http://ti.me/2owARxT | http://ti.me/2pNoyBd | https://www.facebook.com/time/videos/101 | https://www.facebook.com/time/photos/a.1 | https://www.facebook.com/time/videos/103 | https://www.facebook.com/time/videos/102 | http://ti.me/2ptYBpS | http://ti.me/2oDCYUL | http://ti.me/2oyYhqC | http://ti.me/2ovGcJY | http://ti.me/2oF2gh7 | http://ti.me/2pVEK3m | http://ti.me/2q43cME
